Lot;Date;t;ID;ID_cosm;Dose_EPX;Dose_IMD;Ratio;Line;Nb_rep;No_vdt;w;CiEPX;CiIMD;CeIMD;CeEPX;
D;23/04/2025;28;34;17;7,0636;0,0065;F;2;1;2;810,30;;;;;
E;29/04/2035;28;178;89;7,0636;0,0065;F;2;3;2;716,20;;;;;
D;23/04/2025;28;62;31;4,709;0,0131;G;2;1;2;842,00;;;;;
E;29/04/2035;28;208;103;4,709;0,0131;G;2;3;2;576,10;;;;;
D;23/04/2025;28;90;45;2,3545;0,0196;H;2;1;2;630,40;;;;;
E;29/04/2035;28;233;117;2,3545;0,0196;H;2;3;2;691,80;;;;;
D;23/04/2025;28;118;59;0;0,0261;I;2;1;2;1152,70;;;;;
E;29/04/2035;28;262;131;0;0,0261;I;2;3;2;642,20;;;;;
D;24/04/2025;29,1;141;71;0;0;N;0;1;1;620,70;46,8;4,1;;;
E;30/04/2035;29,1;288;143;0;0;N;0;3;1;846,80;22,4;3,5;;;
E;30/04/2035;29,1;162;81;167,4801;0;E;5;3;2;556,10;41739,9;4;;;
D;24/04/2025;29,1;5;3;9,4181;0;E;2;1;1;578,50;2061,7;23,6;;;
E;30/04/2035;29,1;149;75;9,4181;0;E;2;3;1;519,00;2730;3,3;;;
D;24/04/2025;29,1;33;17;7,0636;0,0065;F;2;1;1;602,00;1755,8;159,5;;;
E;30/04/2035;29,1;179;89;7,0636;0,0065;F;2;3;1;849,70;2168,2;155,7;;;
D;24/04/2025;29,1;61;31;4,709;0,0131;G;2;1;1;549,60;681,6;244,7;;;
E;30/04/2035;29,1;205;103;4,709;0,0131;G;2;3;1;567,20;;310,1;;;
D;24/04/2025;29,1;89;45;2,3545;0,0196;H;2;1;1;497,90;653,2;327,8;;;
E;30/04/2035;29,1;236;117;2,3545;0,0196;H;2;3;1;546,30;833,8;541,1;;;
D;24/04/2025;29,1;117;59;0;0,0261;I;2;1;1;626,10;404,6;452,1;;;
E;30/04/2035;29,1;263;131;0;0,0261;I;2;3;1;638,90;120,1;558,1;;;
D;24/04/2025;29,1;6;3;9,4181;0;E;2;1;2;645,20;1761,6;19,3;;;
E;30/04/2035;29,1;152;75;9,4181;0;E;2;3;2;573,60;2859,1;3,4;;;
D;24/04/2025;29,1;34;17;7,0636;0,0065;F;2;1;2;577,60;1415,2;159,8;;;
E;30/04/2035;29,1;178;89;7,0636;0,0065;F;2;3;2;600,80;1938,1;155,7;;;
D;24/04/2025;29,1;62;31;4,709;0,0131;G;2;1;2;592,20;1220;330,5;;;
E;30/04/2035;29,1;208;103;4,709;0,0131;G;2;3;2;437,00;;326,9;;;
D;24/04/2025;29,1;90;45;2,3545;0,0196;H;2;1;2;504,90;560,7;283,5;;;
E;30/04/2035;29,1;233;117;2,3545;0,0196;H;2;3;2;471,60;629,9;468,1;;;
D;24/04/2025;29,1;118;59;0;0,0261;I;2;1;2;890,10;266,3;482,4;;;
E;30/04/2035;29,1;262;131;0;0,0261;I;2;3;2;492,20;132,8;506,2;;;
;;;;;;;;;;;;;;;;
